"name","latitude","longitude","grantee","grantNumber","delegateNo","centerType","programType","programDelegateName","programMainPhoneNumber","programAddress","programCity","programState","programZipCode","phone","address","city","state","zip","id"
"Red Boiling Springs Head Start","36.5197915","-85.86034749999999","Livingston Byrdstown Jamestown & Cookeville Dev Corp
1150 Chocolate Drive
Cookeville, TN 38501-2006
(931)528-3361
","04CH4696","000","Head Start","Head Start","Livingston Byrdstown Jamestown & Cookeville Dev Corp","","1150 Chocolate Drive ","Cookeville","TN","38501-2006","(615) 699-2225","521 Lafayette Rd","Red Boiling Springs","TN","37150-2026","41636"
"Fairview Head Start","36.1550239","-84.02758549999999","Anderson County Schools' Preschool
708 N Main St
Clinton, TN 37716-3143
(865)463-2833
","04CH9994","000","Head Start","Head Start","Anderson County Schools' Preschool","","708 N Main St ","Clinton","TN","37716-3143","(865) 494-3229","6715 Hickory Valley Rd","Heiskell","TN","37754-3021","56872"
"West Pines","36.3408621","-82.71744180000002","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY
301 Louis St
Kingsport, TN 37660-5181
(423)230-3732
","04CH4688","000","Head Start","Head Start","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY","","301 Louis St ","Kingsport","TN","37660-5181","(423) 234-6881","3500 W Pines Rd","Greeneville","TN","37745-2948","39063"
"Chambliss Center for Children","35.028504","-85.24288000000001","Chattanooga YFD Head Start/EHS Program
2302 Ocoee St
Chattanooga, TN 37406-3564
(423)643-6537
","04CH010085","000","Head Start","Head Start","Chattanooga YFD Head Start/EHS Program","","2302 Ocoee St ","Chattanooga","TN","37406-3564","(423) 698-2456","315 Gillespie Rd","Chattanooga","TN","37411-3105","56820"
"RIDGEWOOD","35.8042978","-83.55133710000001","Douglas-Cherokee Economic Authority, Inc.
534 E 1st North St
Morristown, TN 37814-4716
(423)587-4501 - 129
","04CH9999","000","Head Start","Head Start","Douglas-Cherokee Economic Authority, Inc.","","534 E 1st North St ","Morristown","TN","37814-4716","(865) 908-6280","944 Jamesena Miller Dr","Pigeon Forge","TN","37863-3070","56948"
"Westmoreland Head Start","36.5676348","-86.24640529999999","MID-CUMBERLAND COMMUNITY ACTION
412 Vine Street
Murfreesboro, TN 37130-
(615)893-6614 - 1026
","04CH4771","000","Head Start","Head Start","MID-CUMBERLAND COMMUNITY ACTION","","412 Vine Street ","Murfreesboro","TN","37130","(615) 644-4637","4178 Hawkins Dr
Westmoreland Elementary","Westmoreland","TN","37186-2008","48608"
"LaGrange Moscow PreK Head Start","35.0582055","-89.37160210000002","Northwest Tennessee Head Start
938 C Walnut Avenue West
McKenzie, TN 38201-1970
(731)352-4743 - 6502
","04CH010416","000","Head Start","Head Start","Northwest Tennessee Head Start","","938 C Walnut Avenue West ","McKenzie","TN","38201-1970","(901) 877-6854","15655 Highway 57","Moscow","TN","38057-6851","84616"
"Dandridge","36.03829899999999","-83.44768099999999","Douglas-Cherokee Economic Authority, Inc.
534 E 1st North St
Morristown, TN 37814-4716
(423)587-4501 - 129
","04CH9999","000","Head Start","Head Start","Douglas-Cherokee Economic Authority, Inc.","","534 E 1st North St ","Morristown","TN","37814-4716","(865) 397-6390","546 Patriot Dr","Dandridge","TN","37725-3216","56964"
"Northridge Head Start","35.6482215","-87.00769830000002","South Central Human Resource Agency
1437 Winchester Hwy
Fayetteville, TN 37334-2757
(931)433-7182 - 182
","04CH4650","000","Head Start","Head Start","South Central Human Resource Agency","","1437 Winchester Hwy ","Fayetteville","TN","37334-2757","(931) 840-4735","1224 McBride Cir","Columbia","TN","38401-5508","32650"
"Lafayette Center","36.5567172","-87.39865950000001","Clarksville / Montgomery County CAA
150 Lafayette Rd
Clarksville, TN 37042-4205
(931)896-1806
","04CH010248","000","Head Start","Head Start","Clarksville / Montgomery County CAA","","150 Lafayette Rd ","Clarksville","TN","37042-4205","(931) 802-6338","150 Lafayette Rd","Clarksville","TN","37042-0601","80438"
"Richland Head Start","36.1494391","-86.86336419999998","Metropolitan Action Commission
800 2nd Ave N
Nashville, TN 37201-1083
(615)862-8860 - 70146
","04CH010156","000","Head Start","Head Start","Metropolitan Action Commission","","800 2nd Ave N ","Nashville","TN","37201-1083","(615) 862-8935","5900 Charlotte Pike","Nashville","TN","37209-3104","56846"
"Cloudland","36.205634","-82.09280100000001","Carter County Head Start
305 Academy Street
Elizabethton, TN 37643-2208
(423)547-4009
","04CH4688","002","Head Start","Head Start","Carter County Head Start","","305 Academy Street ","Elizabethton","TN","37643-2208","(423) 772-5313","8540 Highway 19 E","Roan Mountain","TN","37687-3317","40771"
"MCS - Northfield","35.87510109999999","-86.3927976","MID-CUMBERLAND COMMUNITY ACTION
412 Vine Street
Murfreesboro, TN 37130-
(615)893-6614 - 1026
","04CH4771","000","Head Start","Head Start","MID-CUMBERLAND COMMUNITY ACTION","","412 Vine Street ","Murfreesboro","TN","37130","(615) 542-9565","550 W Northfield Blvd","Murfreesboro","TN","37129-1531","49496"
"Vision Prep","35.0951155","-90.0717545","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 775-1018","260 Joubert Ave","Memphis","TN","38109-1828","58857"
"Porter Head Start","35.805594","-83.869574","Douglas-Cherokee Economic Authority, Inc.
534 E 1st North St
Morristown, TN 37814-4716
(423)587-4501 - 129
","04CH9999","000","Head Start","Head Start","Douglas-Cherokee Economic Authority, Inc.","","534 E 1st North St ","Morristown","TN","37814-4716","(865) 982-6140","4520 Wildwood Springs Rd","Maryville","TN","37804-4529","56973"
"Bransford Head Start","36.4992242","-86.8957025","MID-CUMBERLAND COMMUNITY ACTION
412 Vine Street
Murfreesboro, TN 37130-
(615)893-6614 - 1026
","04CH4771","000","Head Start","Head Start","MID-CUMBERLAND COMMUNITY ACTION","","412 Vine Street ","Murfreesboro","TN","37130","(615) 384-9863","700 Bransford Dr","Springfield","TN","37172-7221","48599"
"Crump Elementary","35.02858","-89.86095599999999","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 416-1970","4405 Crump Rd","Memphis","TN","38141-6910","46454"
"Lake City I Head Start","36.2201094","-84.1520697","Anderson County Schools' Preschool
708 N Main St
Clinton, TN 37716-3143
(865)463-2833
","04CH9994","000","Head Start","Head Start","Anderson County Schools' Preschool","","708 N Main St ","Clinton","TN","37716-3143","(865) 426-4890","402 Lindsay Ave","Rocky Top","TN","37769-2238","56870"
"FAIRVIEW","35.7187294","-84.00485200000003","Douglas-Cherokee Economic Authority, Inc.
534 E 1st North St
Morristown, TN 37814-4716
(423)587-4501 - 129
","04CH9999","000","Head Start","Head Start","Douglas-Cherokee Economic Authority, Inc.","","534 E 1st North St ","Morristown","TN","37814-4716","(865) 980-1685","2130 Old Niles Ferry Rd","Maryville","TN","37803-8860","56956"
"Carnes Elementary","35.1507859","-90.02837199999999","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 416-3206","943 Jw Williams Ln","Memphis","TN","38105-3108","46451"
"MADISONVILLE","35.5204386","-84.36372999999998","Douglas-Cherokee Economic Authority, Inc.
534 E 1st North St
Morristown, TN 37814-4716
(423)587-4501 - 129
","04CH9999","000","Head Start","Head Start","Douglas-Cherokee Economic Authority, Inc.","","534 E 1st North St ","Morristown","TN","37814-4716","(423) 442-3722","102 Main St","Madisonville","TN","37354-1439","56955"
"Cherokee Elementary","35.093922","-89.96002799999997","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 416-5028","3061 Kimball Ave","Memphis","TN","38114-4011","46452"
"Shiloh Head Start","36.246383","-85.59398399999998","Livingston Byrdstown Jamestown & Cookeville Dev Corp
1150 Chocolate Drive
Cookeville, TN 38501-2006
(931)528-3361
","04CH4696","000","Head Start","Head Start","Livingston Byrdstown Jamestown & Cookeville Dev Corp","","1150 Chocolate Drive ","Cookeville","TN","38501-2006","(931) 268-2759","824 P Brewington Rd","Cookeville","TN","38501-8962","41632"
"Surgoinsville Head Start","36.486145","-82.83758399999999","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY
301 Louis St
Kingsport, TN 37660-5181
(423)230-3732
","04CH4688","000","Head Start","Head Start","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY","","301 Louis St ","Kingsport","TN","37660-5181","(423) 345-3527","3327 Highway 11W","Surgoinsville","TN","37873-6104","39076"
"Briceville Head Start","36.1780273","-84.18377880000003","Anderson County Schools' Preschool
708 N Main St
Clinton, TN 37716-3143
(865)463-2833
","04CH9994","000","Head Start","Head Start","Anderson County Schools' Preschool","","708 N Main St ","Clinton","TN","37716-3143","(865) 426-2289","103 Slatestone Rd","Briceville","TN","37710-2018","56864"
"Hemlock Head Start","35.0015841","-85.70665309999998","SEQUATCHIE VALLEY PLANNING & DEVELOPMENT DISTRICT
501 Westfield Pl
Jasper, TN 37347-5144
(423)939-1005
","04CH4786","000","Head Start","Head Start","SEQUATCHIE VALLEY PLANNING & DEVELOPMENT DISTRICT","","501 Westfield Pl ","Jasper","TN","37347-5144","(423) 837-1101","907 Hemlock Ln","South Pittsburg","TN","37380-1571","51915"
"Kiwanis East II Head Start Center","36.008739","-83.89065800000003","KNOXVILLE KNOX COUNTY COMMUNITY ACTION COMMISSION
2400 Piedmont St
Knoxville, TN 37921-7048
(865)522-2193
","04CH4692","000","Head Start","Head Start","KNOXVILLE KNOX COUNTY COMMUNITY ACTION COMMISSION","","2400 Piedmont St ","Knoxville","TN","37921-7048","(865) 637-2639","2330 Prosser Rd","Knoxville","TN","37914-3323","39036"
"Ridgeway ELC","35.053966","-89.858071","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 416-1530","3435 Ridge Meadow Pkwy","Memphis","TN","38115-4030","46508"
"Pre K Sunbright","36.25987569999999","-84.67744949999997","COMMUNITY ACTION SERVICE OF MORGAN COUNTY HEAD START
105 Longview Dr
Wartburg, TN 37887-4205
(423)346-6633
","04CH4714","000","Head Start","Head Start","COMMUNITY ACTION SERVICE OF MORGAN COUNTY HEAD START","","105 Longview Dr ","Wartburg","TN","37887-4205","(423) 346-6633","205 Burrville Rd","Sunbright","TN","37872-2303","43728"
"Dutch Valley Elementary Pre-K/Head Start","36.1266595","-84.20159619999998","Anderson County Schools' Preschool
708 N Main St
Clinton, TN 37716-3143
(865)463-2833
","04CH9994","000","Head Start","Head Start","Anderson County Schools' Preschool","","708 N Main St ","Clinton","TN","37716-3143","(865) 457-2599","1044 Old Dutch Valley Rd","Clinton","TN","37716-5509","56871"
"YFD Child Care Program - YF Dev/CCP 1300","35.044303","-85.31519700000001","Chattanooga YFD Head Start/EHS Program
2302 Ocoee St
Chattanooga, TN 37406-3564
(423)643-6537
","04CH010085","000","Head Start","Head Start","Chattanooga YFD Head Start/EHS Program","","2302 Ocoee St ","Chattanooga","TN","37406-3564","(423) 643-6400","501 W 12th St","Chattanooga","TN","37402-3852","56818"
"Weakley Co. Head Start","36.288831","-88.70716800000002","Northwest Tennessee Head Start
938 C Walnut Avenue West
McKenzie, TN 38201-1970
(731)352-4743 - 6502
","04CH010416","000","Head Start","Head Start","Northwest Tennessee Head Start","","938 C Walnut Avenue West ","McKenzie","TN","38201-1970","(731) 364-3913","231 S Wilson St","Dresden","TN","38225-1329","84595"
"Tullahoma Head Start","35.3684645","-86.22143590000002","South Central Human Resource Agency
1437 Winchester Hwy
Fayetteville, TN 37334-2757
(931)433-7182 - 182
","04CH4650","000","Head Start","Head Start","South Central Human Resource Agency","","1437 Winchester Hwy ","Fayetteville","TN","37334-2757","(931) 461-3081","215 Big Springs Ave","Tullahoma","TN","37388-3390","32680"
"MCEWEN HEAD START","36.1133566","-87.63191139999998","Highland Rim Economic Corporation
3215 Highway 149
Erin, TN 37061-5407
(931)289-4135
","04CH4663","000","Head Start","Head Start","Highland Rim Economic Corporation","","3215 Highway 149 ","Erin","TN","37061-5407","(931) 582-3278","220 Swift St E","Mc Ewen","TN","37101-4550","32857"
"DICKSON COMPLEX","36.0734014","-87.3923977","Highland Rim Economic Corporation
3215 Highway 149
Erin, TN 37061-5407
(931)289-4135
","04CH4663","000","Head Start","Head Start","Highland Rim Economic Corporation","","3215 Highway 149 ","Erin","TN","37061-5407","(615) 446-2576","119 W Broad St","Dickson","TN","37055-1909","32861"
"Stewart Pre-K","36.5533731","-87.74332950000002","Highland Rim Economic Corporation
3215 Highway 149
Erin, TN 37061-5407
(931)289-4135
","04CH4663","000","Head Start","Head Start","Highland Rim Economic Corporation","","3215 Highway 149 ","Erin","TN","37061-5407","(931) 232-5505","2201 Highway 79","Big Rock","TN","37023-3070","32864"
"TOWNSEND","35.6744224","-83.7549285","Douglas-Cherokee Economic Authority, Inc.
534 E 1st North St
Morristown, TN 37814-4716
(423)587-4501 - 129
","04CH9999","000","Head Start","Head Start","Douglas-Cherokee Economic Authority, Inc.","","534 E 1st North St ","Morristown","TN","37814-4716","(865) 448-9195","140 Tiger Dr","Townsend","TN","37882-4100","56945"
"East Brainard Elementary","35.0280047","-85.1496281","Chattanooga YFD Head Start/EHS Program
2302 Ocoee St
Chattanooga, TN 37406-3564
(423)643-6537
","04CH010085","000","Head Start","Head Start","Chattanooga YFD Head Start/EHS Program","","2302 Ocoee St ","Chattanooga","TN","37406-3564","(423) 855-2600","7660 Goodwin Rd","Chattanooga","TN","37421-4759","86357"
"Childcare Network 34","35.075226","-85.196483","Chattanooga YFD Head Start/EHS Program
2302 Ocoee St
Chattanooga, TN 37406-3564
(423)643-6537
","04CH010085","000","Head Start","Head Start","Chattanooga YFD Head Start/EHS Program","","2302 Ocoee St ","Chattanooga","TN","37406-3564","(423) 899-2821","4650 Redlands Dr","Chattanooga","TN","37416-3420","56822"
"Murfreesboro Head Start","35.843857","-86.38639","MID-CUMBERLAND COMMUNITY ACTION
412 Vine Street
Murfreesboro, TN 37130-
(615)893-6614 - 1026
","04CH4771","000","Head Start","Head Start","MID-CUMBERLAND COMMUNITY ACTION","","412 Vine Street ","Murfreesboro","TN","37130","(615) 896-5870","219 S Maney Ave","Murfreesboro","TN","37130-4240","48597"
"MCS - Oakland Court","35.856303064825475","-86.39163795560302","MID-CUMBERLAND COMMUNITY ACTION
412 Vine Street
Murfreesboro, TN 37130-
(615)893-6614 - 1026
","04CH4771","000","Head Start","Head Start","MID-CUMBERLAND COMMUNITY ACTION","","412 Vine Street ","Murfreesboro","TN","37130","(615) 542-9565","318 E Lokey Ave","Murfreesboro","TN","37130-2588","48615"
"Jackson Elementary","35.184183","-89.92958290000001","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 416-4222","3925 Wales Ave","Memphis","TN","38108-2177","46479"
"Lowrance Elementary","35.0363908","-89.80564859999998","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 759-3000","7740 Lowrance Rd","Memphis","TN","38125-2828","46485"
"Evans Elementary","35.0686355","-89.89825810000002","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 416-2504","4949 Cottonwood Rd","Memphis","TN","38118-2606","46462"
"Delano","35.263701","-84.55765500000001","Family Resource Agency, Inc.
3680 Michigan Avenue Rd NE
Cleveland, TN 37323-5721
(423)303-3536
","04CH010316","000","Head Start","Head Start","Family Resource Agency, Inc.","","3680 Michigan Avenue Rd NE ","Cleveland","TN","37323-5721","(423) 781-7635","119 Carolina Ave","Delano","TN","37325-7001","82081"
"Grand Oaks Head Start","36.0484121","-84.24577729999999","Anderson County Schools' Preschool
708 N Main St
Clinton, TN 37716-3143
(865)463-2833
","04CH9994","000","Head Start","Head Start","Anderson County Schools' Preschool","","708 N Main St ","Clinton","TN","37716-3143","(865) 463-9809","1033 Oliver Springs Hwy","Clinton","TN","37716-5365","56866"
"WEARWOOD","35.725377","-83.645465","Douglas-Cherokee Economic Authority, Inc.
534 E 1st North St
Morristown, TN 37814-4716
(423)587-4501 - 129
","04CH9999","000","Head Start","Head Start","Douglas-Cherokee Economic Authority, Inc.","","534 E 1st North St ","Morristown","TN","37814-4716","(865) 429-5039","3150 Wearwood Dr","Sevierville","TN","37862-8332","56954"
"Maury Pre-K","35.6141897","-87.04185740000003","South Central Human Resource Agency
1437 Winchester Hwy
Fayetteville, TN 37334-2757
(931)433-7182 - 182
","04CH4650","000","Head Start","Head Start","South Central Human Resource Agency","","1437 Winchester Hwy ","Fayetteville","TN","37334-2757","(931) 388-8403","501 W 8th St","Columbia","TN","38401-3182","32674"
"Moore County Head Start","35.2837242","-86.3788164","South Central Human Resource Agency
1437 Winchester Hwy
Fayetteville, TN 37334-2757
(931)433-7182 - 182
","04CH4650","000","Head Start","Head Start","South Central Human Resource Agency","","1437 Winchester Hwy ","Fayetteville","TN","37334-2757","(931) 759-4239","75 High St","Lynchburg","TN","37352-6807","32653"
"MCS - Franklin Heights","35.8413518","-86.40752680000003","MID-CUMBERLAND COMMUNITY ACTION
412 Vine Street
Murfreesboro, TN 37130-
(615)893-6614 - 1026
","04CH4771","000","Head Start","Head Start","MID-CUMBERLAND COMMUNITY ACTION","","412 Vine Street ","Murfreesboro","TN","37130","(615) 542-9565","307 January St","Murfreesboro","TN","37129-3378","48614"
"Bower Head Start/Pre K","35.1396487","-84.87694620000002","Family Resource Agency, Inc.
3680 Michigan Avenue Rd NE
Cleveland, TN 37323-5721
(423)303-3536
","04CH010316","000","Head Start","Head Start","Family Resource Agency, Inc.","","3680 Michigan Avenue Rd NE ","Cleveland","TN","37323-5721","(423) 476-2317","640 20th St SE","Cleveland","TN","37311-7701","82068"
"Smithville Head Start","35.93977470000001","-85.81903979999998","Livingston Byrdstown Jamestown & Cookeville Dev Corp
1150 Chocolate Drive
Cookeville, TN 38501-2006
(931)528-3361
","04CH4696","000","Head Start","Head Start","Livingston Byrdstown Jamestown & Cookeville Dev Corp","","1150 Chocolate Drive ","Cookeville","TN","38501-2006","(615) 597-5168","118 Kimberly Ln","Smithville","TN","37166-3025","41637"
"Cosby Head Start","35.846641","-83.21616499999999","Douglas-Cherokee Economic Authority, Inc.
534 E 1st North St
Morristown, TN 37814-4716
(423)587-4501 - 129
","04CH9999","000","Head Start","Head Start","Douglas-Cherokee Economic Authority, Inc.","","534 E 1st North St ","Morristown","TN","37814-4716","(423) 487-4348","110 Tree Rd","Cosby","TN","37722-3024","56960"
"WATERVILLE HEAD START / PRE-K","35.100501","-84.873718","Family Resource Agency, Inc.
3680 Michigan Avenue Rd NE
Cleveland, TN 37323-5721
(423)303-3536
","04CH010316","000","Head Start","Head Start","Family Resource Agency, Inc.","","3680 Michigan Avenue Rd NE ","Cleveland","TN","37323-5721","(423) 473-7579","4081 Dalton Pike SE","Cleveland","TN","37323-9304","81995"
"BLYTHE AVENUE HEAD START/EARLY HEAD START CTR.","35.1492774","-84.87470710000002","Family Resource Agency, Inc.
3680 Michigan Avenue Rd NE
Cleveland, TN 37323-5721
(423)303-3536
","04CH010316","000","Head Start","Head Start","Family Resource Agency, Inc.","","3680 Michigan Avenue Rd NE ","Cleveland","TN","37323-5721","(423) 473-9890","1075 Blythe Ave SE","Cleveland","TN","37311-2948","82033"
"Fairmont Center","35.91298","-84.57707700000003","Mid-East Community Action Agency
315 E Race St
Kingston, TN 37763-2828
(865)376-2308 - 231
","04CH0450","000","Head Start","Head Start","Mid-East Community Action Agency","","315 E Race St ","Kingston","TN","37763-2828","(865) 882-8737","130 Fairmont Ave","Harriman","TN","37748-7224","38402"
"Washington Douglass Head Start - Bldg 2","35.604558","-88.797931","Northwest Tennessee Head Start
938 C Walnut Avenue West
McKenzie, TN 38201-1970
(731)352-4743 - 6502
","04CH010416","000","Head Start","Head Start","Northwest Tennessee Head Start","","938 C Walnut Avenue West ","McKenzie","TN","38201-1970","(731) 424-4842","409 Iselin St","Jackson","TN","38301-7250","84604"
"Bluff City","36.472859","-82.26176300000003","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY
301 Louis St
Kingsport, TN 37660-5181
(423)230-3732
","04CH4688","000","Head Start","Head Start","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY","","301 Louis St ","Kingsport","TN","37660-5181","(423) 538-5580","284 J Forrest Thomas St","Bluff City","TN","37618-2815","39052"
"Wartrace Head Start","35.5279613","-86.33818459999998","South Central Human Resource Agency
1437 Winchester Hwy
Fayetteville, TN 37334-2757
(931)433-7182 - 182
","04CH4650","000","Head Start","Head Start","South Central Human Resource Agency","","1437 Winchester Hwy ","Fayetteville","TN","37334-2757","(931) 389-6406","112 Bridgeview Street","Wartrace","TN","37183","32668"
"Hardeman County","35.2869227","-89.02292620000003","SOUTHWEST HUMAN RESOURCE AGENCY
1527 White Ave
Henderson, TN 38340-7625
(731)989-5111
","04CH4711","000","Head Start","Head Start","SOUTHWEST HUMAN RESOURCE AGENCY","","1527 White Ave ","Henderson","TN","38340-7625","(731) 658-1803","525 Moss Ln","Bolivar","TN","38008-1022","43937"
"Pikeville Head Start","35.5973633","-85.19159430000002","SEQUATCHIE VALLEY PLANNING & DEVELOPMENT DISTRICT
501 Westfield Pl
Jasper, TN 37347-5144
(423)939-1005
","04CH4786","000","Head Start","Head Start","SEQUATCHIE VALLEY PLANNING & DEVELOPMENT DISTRICT","","501 Westfield Pl ","Jasper","TN","37347-5144","(423) 447-2459","2531 Main St","Pikeville","TN","37367-5512","51914"
"Valley Forge 2","36.3081243","-82.19405619999998","Carter County Head Start
305 Academy Street
Elizabethton, TN 37643-2208
(423)547-4009
","04CH4688","002","Head Start","Head Start","Carter County Head Start","","305 Academy Street ","Elizabethton","TN","37643-2208","(423) 547-8319","1485 Riverview Dr","Elizabethton","TN","37643-5369","40768"
"McDonald","36.16482300000001","-83.12503300000003","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY
301 Louis St
Kingsport, TN 37660-5181
(423)230-3732
","04CH4688","000","Head Start","Head Start","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY","","301 Louis St ","Kingsport","TN","37660-5181","(423) 235-9077","8120 McDonald Rd","Mohawk","TN","37810-4900","39071"
"SEYMOUR HEAD START","35.835256","-83.73577","Douglas-Cherokee Economic Authority, Inc.
534 E 1st North St
Morristown, TN 37814-4716
(423)587-4501 - 129
","04CH9999","000","Head Start","Head Start","Douglas-Cherokee Economic Authority, Inc.","","534 E 1st North St ","Morristown","TN","37814-4716","(865) 573-4897","813 Wye Dr","Seymour","TN","37865-6531","56969"
"Chuckey","36.215447","-82.69699700000001","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY
301 Louis St
Kingsport, TN 37660-5181
(423)230-3732
","04CH4688","000","Head Start","Head Start","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY","","301 Louis St ","Kingsport","TN","37660-5181","(423) 257-3406","1605 Chuckey Hwy","Chuckey","TN","37641-5447","39055"
"Lewis County Head Start","35.5454007","-87.5554138","South Central Human Resource Agency
1437 Winchester Hwy
Fayetteville, TN 37334-2757
(931)433-7182 - 182
","04CH4650","000","Head Start","Head Start","South Central Human Resource Agency","","1437 Winchester Hwy ","Fayetteville","TN","37334-2757","(931) 796-4898","207 S Oak St","Hohenwald","TN","38462-1743","32660"
"Perry County Head Start","35.5930601","-87.86278870000001","South Central Human Resource Agency
1437 Winchester Hwy
Fayetteville, TN 37334-2757
(931)433-7182 - 182
","04CH4650","000","Head Start","Head Start","South Central Human Resource Agency","","1437 Winchester Hwy ","Fayetteville","TN","37334-2757","(931) 589-6368","2469 Squirrel Hollow Dr","Linden","TN","37096-3518","32666"
"LT Ross Head Start Center","35.9697272","-83.95310589999997","KNOXVILLE KNOX COUNTY COMMUNITY ACTION COMMISSION
2400 Piedmont St
Knoxville, TN 37921-7048
(865)522-2193
","04CH4692","000","Head Start","Head Start","KNOXVILLE KNOX COUNTY COMMUNITY ACTION COMMISSION","","2400 Piedmont St ","Knoxville","TN","37921-7048","(865) 637-6244","2247 Western Ave","Knoxville","TN","37921-5756","39037"
"Monterey Head Start","36.142886","-85.26318600000002","Livingston Byrdstown Jamestown & Cookeville Dev Corp
1150 Chocolate Drive
Cookeville, TN 38501-2006
(931)528-3361
","04CH4696","000","Head Start","Head Start","Livingston Byrdstown Jamestown & Cookeville Dev Corp","","1150 Chocolate Drive ","Cookeville","TN","38501-2006","(931) 839-3323","705 E Commercial Ave","Monterey","TN","38574-1220","41630"
"Decatur County","35.571262","-88.12743390000003","SOUTHWEST HUMAN RESOURCE AGENCY
1527 White Ave
Henderson, TN 38340-7625
(731)989-5111
","04CH4711","000","Head Start","Head Start","SOUTHWEST HUMAN RESOURCE AGENCY","","1527 White Ave ","Henderson","TN","38340-7625","(731) 852-4257","1020 S West St","Decaturville","TN","38329-4020","43940"
"Hawkins Mill Elementary","35.24296","-89.9828971","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 416-3944","4295 Mountain Terrace St","Memphis","TN","38127-3530","46503"
"Signal Center","35.026419","-85.24636090000001","Chattanooga YFD Head Start/EHS Program
2302 Ocoee St
Chattanooga, TN 37406-3564
(423)643-6537
","04CH010085","000","Head Start","Head Start","Chattanooga YFD Head Start/EHS Program","","2302 Ocoee St ","Chattanooga","TN","37406-3564","(423) 698-8528","109 N Germantown Rd","Chattanooga","TN","37411-2756","56825"
"Knight Road Elementary","35.0601709","-89.91220899999996","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 416-2514","3237 Knight Rd","Memphis","TN","38118-4204","46483"
"Victoria Head Start","35.2051246","-87.02405190000002","South Central Human Resource Agency
1437 Winchester Hwy
Fayetteville, TN 37334-2757
(931)433-7182 - 182
","04CH4650","000","Head Start","Head Start","South Central Human Resource Agency","","1437 Winchester Hwy ","Fayetteville","TN","37334-2757","(931) 363-5535","121 Victoria Pl","Pulaski","TN","38478-2524","32665"
"Manchester Head Start","35.4657999","-86.0945883","South Central Human Resource Agency
1437 Winchester Hwy
Fayetteville, TN 37334-2757
(931)433-7182 - 182
","04CH4650","000","Head Start","Head Start","South Central Human Resource Agency","","1437 Winchester Hwy ","Fayetteville","TN","37334-2757","(931) 728-7756","1200 Oakdale St","Manchester","TN","37355-2287","32679"
